w1	it1	w2	it2
0.00	100000	0.00	100000
0.01	100000	0.01	100000
0.02	28789	0.02	28481
0.03	19094	0.03	18789
0.04	14221	0.04	13924
0.05	11401	0.05	11103
0.06	9519	0.06	9223
0.07	8157	0.07	7844
0.08	7115	0.08	6811
0.09	6323	0.09	6016
0.10	5678	0.10	5381
0.11	5164	0.11	4867
0.12	4736	0.12	4436
0.13	4370	0.13	4066
0.14	4054	0.14	3752
0.15	3783	0.15	3481
0.16	3545	0.16	3246
0.17	3336	0.17	3037
0.18	3150	0.18	2848
0.19	2986	0.19	2682
0.20	2833	0.20	2532
0.21	2697	0.21	2397
0.22	2574	0.22	2274
0.23	2462	0.23	2160
0.24	2358	0.24	2057
0.25	2264	0.25	1963
0.26	2175	0.26	1875
0.27	2094	0.27	1794
0.28	2019	0.28	1719
0.29	1949	0.29	1648
0.30	1884	0.30	1582
0.31	1822	0.31	1521
0.32	1765	0.32	1464
0.33	1711	0.33	1410
0.34	1660	0.34	1359
0.35	1612	0.35	1311
0.36	1567	0.36	1266
0.37	1524	0.37	1223
0.38	1484	0.38	1183
0.39	1445	0.39	1144
0.40	1409	0.40	1107
0.41	1374	0.41	1073
0.42	1341	0.42	1040
0.43	1310	0.43	1008
0.44	1279	0.44	978
0.45	1251	0.45	950
0.46	1223	0.46	922
0.47	1197	0.47	896
0.48	1172	0.48	870
0.49	1148	0.49	846
0.50	1124	0.50	823
0.51	1102	0.51	801
0.52	1081	0.52	779
0.53	1060	0.53	758
0.54	1040	0.54	738
0.55	1021	0.55	719
0.56	1002	0.56	701
0.57	984	0.57	683
0.58	967	0.58	666
0.59	950	0.59	649
0.60	934	0.60	633
0.61	919	0.61	617
0.62	904	0.62	602
0.63	889	0.63	588
0.64	875	0.64	573
0.65	862	0.65	560
0.66	848	0.66	546
0.67	835	0.67	533
0.68	823	0.68	521
0.69	811	0.69	509
0.70	799	0.70	497
0.71	787	0.71	486
0.72	776	0.72	474
0.73	765	0.73	463
0.74	755	0.74	453
0.75	744	0.75	443
0.76	735	0.76	432
0.77	725	0.77	423
0.78	715	0.78	413
0.79	706	0.79	404
0.80	697	0.80	395
0.81	688	0.81	386
0.82	680	0.82	377
0.83	671	0.83	369
0.84	663	0.84	360
0.85	655	0.85	352
0.86	648	0.86	345
0.87	640	0.87	337
0.88	633	0.88	329
0.89	625	0.89	322
0.90	618	0.90	315
0.91	611	0.91	308
0.92	604	0.92	301
0.93	598	0.93	294
0.94	591	0.94	288
0.95	585	0.95	281
0.96	578	0.96	275
0.97	572	0.97	268
0.98	566	0.98	262
0.99	560	0.99	257
1.00	555	1.00	251
1.01	549	1.01	245
1.02	543	1.02	239
1.03	538	1.03	234
1.04	533	1.04	228
1.05	528	1.05	223
1.06	522	1.06	218
1.07	518	1.07	212
1.08	513	1.08	207
1.09	573	1.09	202
1.10	875	1.10	197
1.11	1806	1.11	193
1.11	1806	1.12	188
1.11	1806	1.13	183
1.11	1806	1.14	178
1.11	1806	1.15	174
1.11	1806	1.16	169
1.11	1806	1.17	165
1.11	1806	1.18	160
1.11	1806	1.19	156
1.11	1806	1.20	152
1.11	1806	1.21	148
1.11	1806	1.22	143
1.11	1806	1.23	139
1.11	1806	1.24	135
1.11	1806	1.25	131
1.11	1806	1.26	127
1.11	1806	1.27	123
1.11	1806	1.28	119
1.11	1806	1.29	115
1.11	1806	1.30	111
1.11	1806	1.31	107
1.11	1806	1.32	103
1.11	1806	1.33	100
1.11	1806	1.34	96
1.11	1806	1.35	92
1.11	1806	1.36	88
1.11	1806	1.37	85
1.11	1806	1.38	90
1.11	1806	1.39	96
1.11	1806	1.40	103
1.11	1806	1.41	110
1.11	1806	1.42	119
1.11	1806	1.43	128
1.11	1806	1.44	140
1.11	1806	1.45	154
1.11	1806	1.46	170
1.11	1806	1.47	188
1.11	1806	1.48	214
1.11	1806	1.49	245
1.11	1806	1.50	285
1.11	1806	1.51	341
1.11	1806	1.52	422
1.11	1806	1.53	552
1.11	1806	1.54	799
1.11	1806	1.55	1416
1.11	1806	1.56	5905
