w1	it1	w2	it2
0.00	100000	0.00	100000
0.01	100000	0.01	100000
0.02	100000	0.02	100000
0.03	100000	0.03	100000
0.04	100000	0.04	100000
0.05	100000	0.05	100000
0.06	87388	0.06	86265
0.07	74969	0.07	73712
0.08	65590	0.08	64292
0.09	58281	0.09	56977
0.10	52448	0.10	51082
0.11	47692	0.11	46258
0.12	43705	0.12	42255
0.13	40342	0.13	38851
0.14	37464	0.14	35926
0.15	34958	0.15	33394
0.16	32778	0.16	31177
0.17	30846	0.17	29218
0.18	29128	0.18	27471
0.19	27606	0.19	25914
0.20	26225	0.20	24500
0.21	24975	0.21	23234
0.22	23828	0.22	22065
0.23	22795	0.23	21007
0.24	21846	0.24	20031
0.25	20971	0.25	19135
0.26	20165	0.26	18315
0.27	19420	0.27	17542
0.28	18725	0.28	16826
0.29	18079	0.29	16160
0.30	17472	0.30	15542
0.31	16912	0.31	14959
0.32	16382	0.32	14414
0.33	15885	0.33	13898
0.34	15418	0.34	13417
0.35	14980	0.35	12957
0.36	14559	0.36	12527
0.37	14165	0.37	12115
0.38	13794	0.38	11729
0.39	13435	0.39	11361
0.40	13103	0.40	11012
0.41	12784	0.41	10678
0.42	12479	0.42	10362
0.43	12189	0.43	10059
0.44	11913	0.44	9768
0.45	11646	0.45	9489
0.46	11393	0.46	9225
0.47	11150	0.47	8971
0.48	10918	0.48	8727
0.49	10697	0.49	8491
0.50	10482	0.50	8267
0.51	10276	0.51	8050
0.52	10079	0.52	7843
0.53	9886	0.53	7641
0.54	9704	0.54	7447
0.55	9528	0.55	7262
0.56	9354	0.56	7082
0.57	9192	0.57	6907
0.58	9033	0.58	6740
0.59	8882	0.59	6578
0.60	8734	0.60	6421
0.61	8590	0.61	6269
0.62	8450	0.62	6121
0.63	8318	0.63	5978
0.64	8187	0.64	5841
0.65	8055	0.65	5706
0.66	7939	0.66	5575
0.67	7820	0.67	5450
0.68	7703	0.68	5327
0.69	7593	0.69	5207
0.70	7484	0.70	5092
0.71	7378	0.71	4978
0.72	7275	0.72	4868
0.73	7175	0.73	4761
0.74	7078	0.74	4657
0.75	6984	0.75	4556
0.76	6892	0.76	4457
0.77	6803	0.77	4361
0.78	6715	0.78	4267
0.79	6631	0.79	4176
0.80	6547	0.80	4087
0.81	6466	0.81	3999
0.82	6387	0.82	3913
0.83	6310	0.83	3830
0.84	6234	0.84	3749
0.85	6161	0.85	3669
0.86	6091	0.86	3592
0.87	6019	0.87	3516
0.88	5952	0.88	3441
0.89	5883	0.89	3368
0.90	5819	0.90	3297
0.91	5755	0.91	3228
0.92	5692	0.92	3160
0.93	5630	0.93	3092
0.94	5570	0.94	3027
0.95	5512	0.95	2964
0.96	5454	0.96	2900
0.97	5396	0.97	2839
0.98	5342	0.98	2778
0.99	5289	0.99	2720
0.99	5289	1.00	2661
0.99	5289	1.01	2604
0.99	5289	1.02	2548
0.99	5289	1.03	2493
0.99	5289	1.04	2440
0.99	5289	1.05	2387
0.99	5289	1.06	2335
0.99	5289	1.07	2284
0.99	5289	1.08	2234
0.99	5289	1.09	2185
0.99	5289	1.10	2136
0.99	5289	1.11	2089
0.99	5289	1.12	2041
0.99	5289	1.13	1996
0.99	5289	1.14	1951
0.99	5289	1.15	1906
0.99	5289	1.16	1862
0.99	5289	1.17	1818
0.99	5289	1.18	1777
0.99	5289	1.19	1735
0.99	5289	1.20	1694
0.99	5289	1.21	1653
0.99	5289	1.22	1613
0.99	5289	1.23	1574
0.99	5289	1.24	1535
0.99	5289	1.25	1497
0.99	5289	1.26	1459
0.99	5289	1.27	1422
0.99	5289	1.28	1385
0.99	5289	1.29	1349
0.99	5289	1.30	1314
0.99	5289	1.31	1279
0.99	5289	1.32	1244
0.99	5289	1.33	1210
0.99	5289	1.34	1176
0.99	5289	1.35	1142
0.99	5289	1.36	1109
0.99	5289	1.37	1077
0.99	5289	1.38	1045
0.99	5289	1.39	1013
0.99	5289	1.40	981
0.99	5289	1.41	950
0.99	5289	1.42	920
0.99	5289	1.43	890
0.99	5289	1.44	859
0.99	5289	1.45	829
0.99	5289	1.46	800
0.99	5289	1.47	771
0.99	5289	1.48	742
0.99	5289	1.49	713
0.99	5289	1.50	684
0.99	5289	1.51	656
0.99	5289	1.52	627
0.99	5289	1.53	600
0.99	5289	1.54	572
0.99	5289	1.55	544
0.99	5289	1.56	516
0.99	5289	1.57	489
0.99	5289	1.58	461
0.99	5289	1.59	433
0.99	5289	1.60	405
0.99	5289	1.61	376
0.99	5289	1.62	347
0.99	5289	1.63	318
0.99	5289	1.64	287
0.99	5289	1.65	253
0.99	5289	1.66	214
0.99	5289	1.67	154
0.99	5289	1.68	167
0.99	5289	1.69	181
0.99	5289	1.70	200
0.99	5289	1.71	220
0.99	5289	1.72	259
0.99	5289	1.73	297
0.99	5289	1.74	367
0.99	5289	1.75	468
0.99	5289	1.76	660
0.99	5289	1.77	1066
0.99	5289	1.78	2781
