k	beta	residual	x	y
1	1.00e+00	2.19e-02	-0.6551450720	-0.6551450720
2	1.00e+00	6.42e-03	-0.4335903684	-0.4335903684
3	1.00e+00	1.90e-03	-0.2881484009	-0.2881484009
4	1.00e+00	5.60e-04	-0.1918323122	-0.1918323122
5	1.00e+00	1.66e-04	-0.1278096676	-0.1278096676
6	1.00e+00	4.91e-05	-0.0851832336	-0.0851832336
7	1.00e+00	1.46e-05	-0.0567819528	-0.0567819528
8	1.00e+00	4.31e-06	-0.0378526008	-0.0378526008
9	1.00e+00	1.28e-06	-0.0252344645	-0.0252344645
10	1.00e+00	3.79e-07	-0.0168227978	-0.0168227978
11	1.00e+00	1.12e-07	-0.0112151456	-0.0112151456
12	1.00e+00	3.32e-08	-0.0074767481	-0.0074767481
13	1.00e+00	9.85e-09	-0.0049844941	-0.0049844941
14	1.00e+00	2.92e-09	-0.0033229947	-0.0033229947
15	1.00e+00	8.65e-10	-0.0022153294	-0.0022153294
16	1.00e+00	2.56e-10	-0.0014768861	-0.0014768861
17	1.00e+00	7.59e-11	-0.0009845907	-0.0009845907
# x_0 = (-1.0000000000, 1.0000000000)
# max_iter = 30
# required residual = 1.00e-10

# Exit by residual
# iter = 17
# Residual = 7.59e-11
# Result point = (-0.0009845907, -0.0009845907)
