k	beta	residual	x	y
1	1.00e+00	2.19e-02	-0.6551451780	-0.6551450125
2	1.00e+00	6.42e-03	-0.4335904584	-0.4335904768
3	1.00e+00	1.90e-03	-0.2881485548	-0.2881485673
4	1.00e+00	5.60e-04	-0.1918324039	-0.1918323998
5	1.00e+00	1.66e-04	-0.1278098367	-0.1278098381
6	1.00e+00	4.91e-05	-0.0851837639	-0.0851837634
7	1.00e+00	1.46e-05	-0.0567828958	-0.0567828960
8	1.00e+00	4.31e-06	-0.0378530635	-0.0378530634
9	1.00e+00	1.28e-06	-0.0252354574	-0.0252354574
10	1.00e+00	3.79e-07	-0.0168238143	-0.0168238143
11	1.00e+00	1.12e-07	-0.0112139016	-0.0112139016
12	1.00e+00	3.32e-08	-0.0074717904	-0.0074717903
13	1.00e+00	9.86e-09	-0.0049867757	-0.0049867757
14	1.00e+00	2.89e-09	-0.0033131091	-0.0033131091
15	1.00e+00	8.59e-10	-0.0022106261	-0.0022106261
16	1.00e+00	2.40e-10	-0.0014458077	-0.0014458077
17	1.00e+00	7.17e-11	-0.0009660162	-0.0009660162
# x_0 = (-1.0000000000, 1.0000000000)
# max_iter = 30
# required residual = 1.00e-10

# Exit by residual
# iter = 17
# Residual = 7.17e-11
# Result point = (-0.0009660162, -0.0009660162)
