x_0 = (-1, 1)
max_iter = 100
required residual = 1e-10

k	beta	|f|/|f0|	point
1	1	0.043927	(-0.829936, -0.829936)
2	1	0.0262107	(-0.696331, -0.696331)
3	1	0.0159052	(-0.58816, -0.58816)
4	1	0.00975865	(-0.498973, -0.498973)
5	1	0.00603251	(-0.42457, -0.42457)
6	1	0.00374863	(-0.362008, -0.362008)
7	1	0.00233803	(-0.309115, -0.309115)
8	1	0.00146208	(-0.264225, -0.264225)
9	1	0.000916047	(-0.226024, -0.226024)
10	1	0.000574726	(-0.19345, -0.19345)
11	1	0.000360943	(-0.165636, -0.165636)
12	1	0.000226847	(-0.141863, -0.141863)
13	1	0.000142645	(-0.121526, -0.121526)
14	1	8.97328e-05	(-0.104121, -0.104121)
15	1	5.64637e-05	(-0.0892193, -0.0892193)
16	1	3.55368e-05	(-0.0764563, -0.0764563)
17	1	2.23694e-05	(-0.065523, -0.065523)
18	1	1.40825e-05	(-0.0561557, -0.0561557)
19	1	8.86623e-06	(-0.0481291, -0.0481291)
20	1	5.58246e-06	(-0.0412508, -0.0412508)
21	1	3.51505e-06	(-0.0353561, -0.0353561)
22	1	2.21336e-06	(-0.0303041, -0.0303041)
23	1	1.39374e-06	(-0.0259743, -0.0259743)
24	1	8.7765e-07	(-0.0222632, -0.0222632)
25	1	5.52669e-07	(-0.0190825, -0.0190825)
26	1	3.48027e-07	(-0.0163563, -0.0163563)
27	1	2.19162e-07	(-0.0140196, -0.0140196)
28	1	1.38012e-07	(-0.0120167, -0.0120167)
29	1	8.69107e-08	(-0.0103, -0.0103)
30	1	5.47305e-08	(-0.00882853, -0.00882853)
31	1	3.44657e-08	(-0.00756729, -0.00756729)
32	1	2.17042e-08	(-0.00648624, -0.00648624)
33	1	1.36679e-08	(-0.00555963, -0.00555963)
34	1	8.60719e-09	(-0.00476539, -0.00476539)
35	1	5.42026e-09	(-0.00408462, -0.00408462)
36	1	3.41334e-09	(-0.0035011, -0.0035011)
37	1	2.14951e-09	(-0.00300094, -0.00300094)
38	1	1.35362e-09	(-0.00257223, -0.00257223)
39	1	8.52427e-10	(-0.00220477, -0.00220477)
40	1	5.36805e-10	(-0.0018898, -0.0018898)
41	1	3.38046e-10	(-0.00161983, -0.00161983)
42	1	2.12881e-10	(-0.00138843, -0.00138843)
43	1	1.34059e-10	(-0.00119008, -0.00119008)
44	1	8.44219e-11	(-0.00102007, -0.00102007)

Exit by residual
iter = 44
residual = 8.44219e-11
result point = (-0.00102007, -0.00102007)
