k	beta	residual	x	y
1	1.00e+00	3.43e-01	3.0000000000	1.0000000000
2	1.00e+00	3.43e-01	0.0000000000	0.0000000000
3	1.00e+00	3.43e-01	3.0000000000	1.0000000000
4	1.00e+00	3.43e-01	0.0000000000	0.0000000000
5	1.00e+00	3.43e-01	3.0000000000	1.0000000000
6	1.00e+00	3.43e-01	0.0000000000	0.0000000000
7	1.00e+00	3.43e-01	3.0000000000	1.0000000000
8	1.00e+00	3.43e-01	0.0000000000	0.0000000000
9	1.00e+00	3.43e-01	3.0000000000	1.0000000000
10	1.00e+00	3.43e-01	0.0000000000	0.0000000000
11	1.00e+00	3.43e-01	3.0000000000	1.0000000000
12	1.00e+00	3.43e-01	0.0000000000	0.0000000000
13	1.00e+00	3.43e-01	3.0000000000	1.0000000000
14	1.00e+00	3.43e-01	0.0000000000	0.0000000000
15	1.00e+00	3.43e-01	3.0000000000	1.0000000000
16	1.00e+00	3.43e-01	0.0000000000	0.0000000000
17	1.00e+00	3.43e-01	3.0000000000	1.0000000000
18	1.00e+00	3.43e-01	0.0000000000	0.0000000000
19	1.00e+00	3.43e-01	3.0000000000	1.0000000000
20	1.00e+00	3.43e-01	0.0000000000	0.0000000000
21	1.00e+00	3.43e-01	3.0000000000	1.0000000000
22	1.00e+00	3.43e-01	0.0000000000	0.0000000000
23	1.00e+00	3.43e-01	3.0000000000	1.0000000000
24	1.00e+00	3.43e-01	0.0000000000	0.0000000000
25	1.00e+00	3.43e-01	3.0000000000	1.0000000000
26	1.00e+00	3.43e-01	0.0000000000	0.0000000000
27	1.00e+00	3.43e-01	3.0000000000	1.0000000000
28	1.00e+00	3.43e-01	0.0000000000	0.0000000000
29	1.00e+00	3.43e-01	3.0000000000	1.0000000000
30	1.00e+00	3.43e-01	0.0000000000	0.0000000000
31	1.00e+00	3.43e-01	3.0000000000	1.0000000000
# x_0 = (-3.0000000000, -3.0000000000)
# max_iter = 30
# required residual = 1.00e-10

# Exit by iterations
# iter = 31
# Residual = 3.43e-01
# Result point = (3.0000000000, 1.0000000000)
