k	beta	residual	x	y
1	1.00e+00	3.43e-01	2.9999993259	0.9999997579
2	1.00e+00	2.29e-01	1.0000002004	2.0000000304
3	5.00e-01	2.06e-01	0.5000001746	1.0000001271
4	5.00e-01	1.92e-01	1.7499997542	0.9999998415
5	5.00e-01	1.67e-01	1.3749998656	1.4999998002
6	2.50e-01	1.60e-01	1.0312499280	1.1249999200
7	1.25e-01	1.43e-01	1.2773436335	1.1093749505
8	1.25e-01	1.43e-01	1.2426756774	1.2207030731
9	1.56e-02	1.42e-01	1.2701338666	1.2172545886
10	7.81e-03	1.41e-01	1.2602109447	1.2077447859
11	3.91e-03	1.41e-01	1.2670069947	1.2069332831
12	3.91e-03	1.41e-01	1.2620577488	1.2022187004
13	3.91e-03	1.41e-01	1.2688465855	1.2014287836
14	3.91e-03	1.41e-01	1.2638901537	1.1967357026
15	3.91e-03	1.41e-01	1.2706718340	1.1959672032
16	3.91e-03	1.41e-01	1.2657082716	1.1912954553
17	3.91e-03	1.40e-01	1.2724828490	1.1905482074
18	3.91e-03	1.40e-01	1.2675122127	1.1858976281
19	3.91e-03	1.40e-01	1.2742797430	1.1851714652
20	3.91e-03	1.40e-01	1.2693020878	1.1805418890
21	3.91e-03	1.40e-01	1.2760626270	1.1798366473
22	3.91e-03	1.40e-01	1.2710780072	1.1752279105
23	3.91e-03	1.40e-01	1.2778316092	1.1745434265
24	3.91e-03	1.40e-01	1.2728400794	1.1699553656
25	3.91e-03	1.40e-01	1.2795867984	1.1692914772
26	3.91e-03	1.40e-01	1.2745884126	1.1647239323
27	3.91e-03	1.40e-01	1.2813283015	1.1640804795
28	3.91e-03	1.40e-01	1.2763231131	1.1595332897
29	3.91e-03	1.39e-01	1.2830562263	1.1589101128
30	1.95e-03	1.39e-01	1.2805502573	1.1566466165
31	4.88e-04	1.39e-01	1.2813898324	1.1565701289
# x_0 = (-3.0000000000, -3.0000000000)
# max_iter = 30
# required residual = 1.00e-10

# Exit by iterations
# iter = 31
# Residual = 1.39e-01
# Result point = (1.2813898324, 1.1565701289)
