x_0 = (-3, -3)
max_iter = 100
required residual = 1e-10

k	beta	|f|/|f0|	point
1	1	0.343401	(3, 1)
2	1	0.343401	(0, 1.11022e-16)
3	0.5	0.291835	(2.5, 0.833333)
4	1	0.228934	(1, 2)
5	0.5	0.206359	(2, 1.5)
6	0.5	0.191967	(1, 0.75)
7	0.5	0.166863	(1, 1.375)
8	0.25	0.159532	(1.5, 1.28125)
9	0.125	0.143255	(1.3125, 1.12109)
10	0.125	0.142968	(1.27344, 1.23096)
11	0.015625	0.141943	(1.25354, 1.21172)
12	0.0078125	0.141346	(1.26718, 1.21007)
13	0.00390625	0.141146	(1.26223, 1.20534)
14	0.00390625	0.141111	(1.26902, 1.20454)
15	0.00390625	0.140916	(1.26407, 1.19984)
16	0.00390625	0.140885	(1.27085, 1.19905)
17	0.00390625	0.140694	(1.26588, 1.19437)
18	0.00390625	0.140668	(1.27266, 1.19361)
19	0.00390625	0.140482	(1.26768, 1.18895)
20	0.00390625	0.14046	(1.27445, 1.18821)
21	0.00390625	0.140278	(1.26947, 1.18357)
22	0.00390625	0.140261	(1.27623, 1.18285)
23	0.00390625	0.140083	(1.27125, 1.17823)
24	0.00390625	0.140071	(1.278, 1.17754)
25	0.00390625	0.139897	(1.27301, 1.17294)
26	0.00390625	0.139889	(1.27975, 1.17226)
27	0.00390625	0.139719	(1.27476, 1.16768)
28	0.00390625	0.139715	(1.28149, 1.16703)
29	0.00390625	0.13955	(1.27649, 1.16247)
30	0.00390625	0.139549	(1.28322, 1.16183)
31	0.00390625	0.139388	(1.27821, 1.15729)
32	0.00195313	0.139197	(1.28157, 1.15699)
33	0.000488281	0.139165	(1.28095, 1.15642)
34	0.000244141	0.139154	(1.28137, 1.15638)
35	0.00012207	0.139143	(1.28121, 1.15624)
36	6.10352e-05	0.139143	(1.28131, 1.15623)
37	6.10352e-05	0.13914	(1.28124, 1.15616)
38	6.10352e-05	0.13914	(1.28134, 1.15615)
39	6.10352e-05	0.139138	(1.28126, 1.15608)
40	6.10352e-05	0.139138	(1.28137, 1.15607)
41	6.10352e-05	0.139135	(1.28129, 1.156)
42	6.10352e-05	0.139135	(1.28139, 1.15599)
43	6.10352e-05	0.139133	(1.28132, 1.15592)
44	6.10352e-05	0.139133	(1.28142, 1.15591)
45	6.10352e-05	0.139131	(1.28134, 1.15584)
46	6.10352e-05	0.13913	(1.28145, 1.15583)
47	6.10352e-05	0.139128	(1.28137, 1.15576)
48	6.10352e-05	0.139128	(1.28147, 1.15575)
49	6.10352e-05	0.139126	(1.2814, 1.15568)
50	6.10352e-05	0.139126	(1.2815, 1.15567)
51	6.10352e-05	0.139123	(1.28142, 1.1556)
52	6.10352e-05	0.139123	(1.28153, 1.15559)
53	6.10352e-05	0.139121	(1.28145, 1.15552)
54	6.10352e-05	0.139121	(1.28155, 1.15551)
55	6.10352e-05	0.139118	(1.28148, 1.15544)
56	6.10352e-05	0.139118	(1.28158, 1.15543)
57	6.10352e-05	0.139116	(1.2815, 1.15536)
58	6.10352e-05	0.139116	(1.28161, 1.15535)
59	6.10352e-05	0.139114	(1.28153, 1.15528)
60	6.10352e-05	0.139114	(1.28163, 1.15527)
61	6.10352e-05	0.139111	(1.28156, 1.1552)
62	6.10352e-05	0.139111	(1.28166, 1.15519)
63	6.10352e-05	0.139109	(1.28158, 1.15512)
64	6.10352e-05	0.139109	(1.28169, 1.15511)
65	6.10352e-05	0.139106	(1.28161, 1.15504)
66	6.10352e-05	0.139106	(1.28171, 1.15503)
67	6.10352e-05	0.139104	(1.28164, 1.15496)
68	6.10352e-05	0.139104	(1.28174, 1.15495)
69	6.10352e-05	0.139102	(1.28166, 1.15488)
70	6.10352e-05	0.139101	(1.28177, 1.15487)
71	6.10352e-05	0.139099	(1.28169, 1.1548)
72	6.10352e-05	0.139099	(1.28179, 1.15479)
73	6.10352e-05	0.139097	(1.28172, 1.15472)
74	6.10352e-05	0.139097	(1.28182, 1.15471)
75	6.10352e-05	0.139094	(1.28174, 1.15464)
76	6.10352e-05	0.139094	(1.28185, 1.15463)
77	6.10352e-05	0.139092	(1.28177, 1.15456)
78	6.10352e-05	0.139092	(1.28187, 1.15455)
79	6.10352e-05	0.13909	(1.2818, 1.15448)
80	6.10352e-05	0.13909	(1.2819, 1.15447)
81	6.10352e-05	0.139087	(1.28182, 1.1544)
82	6.10352e-05	0.139087	(1.28193, 1.15439)
83	6.10352e-05	0.139085	(1.28185, 1.15432)
84	6.10352e-05	0.139085	(1.28195, 1.15431)
85	6.10352e-05	0.139082	(1.28188, 1.15424)
86	6.10352e-05	0.139082	(1.28198, 1.15423)
87	6.10352e-05	0.13908	(1.2819, 1.15416)
88	6.10352e-05	0.13908	(1.28201, 1.15415)
89	6.10352e-05	0.139078	(1.28193, 1.15408)
90	6.10352e-05	0.139078	(1.28203, 1.15407)
91	6.10352e-05	0.139075	(1.28196, 1.154)
92	6.10352e-05	0.139075	(1.28206, 1.15399)
93	6.10352e-05	0.139073	(1.28198, 1.15392)
94	6.10352e-05	0.139073	(1.28209, 1.15391)
95	6.10352e-05	0.139071	(1.28201, 1.15384)
96	6.10352e-05	0.13907	(1.28211, 1.15383)
97	6.10352e-05	0.139068	(1.28204, 1.15376)
98	6.10352e-05	0.139068	(1.28214, 1.15375)
99	6.10352e-05	0.139066	(1.28206, 1.15368)
100	6.10352e-05	0.139066	(1.28217, 1.15367)
101	6.10352e-05	0.139063	(1.28209, 1.1536)

Exit by iterations
iter = 101
residual = 0.139063
result point = (1.28209, 1.1536)
