k	beta	residual	x	y
1	1.00e+00	6.19e-02	1.3167259786	-0.8612099644
2	2.50e-01	5.94e-02	1.2548932384	-0.4924377224
3	1.00e+00	1.51e-02	0.5304844956	0.5060968991
4	6.25e-02	1.44e-02	0.4363534394	0.6612037305
5	7.81e-03	1.44e-02	0.3982753191	0.6929038809
6	4.88e-04	1.44e-02	0.4045473383	0.6905530073
7	1.86e-09	1.44e-02	0.4045353222	0.6905590183
8	1.16e-10	1.44e-02	0.4045312256	0.6905610668
9	2.91e-11	1.44e-02	0.4045331979	0.6905600807
# x_0 = (-3.0000000000, -3.0000000000)
# max_iter = 100
# required residual = 1.00e-10

# Exit by beta
# iter = 9
# Residual = 1.44e-02
# Result point = (0.4045331979, 0.6905600807)
