k	beta	residual	x	y
1	1.00e+00	6.19e-02	1.3167265230	-0.8612100464
2	2.50e-01	5.94e-02	1.2549012294	-0.4924362461
3	1.00e+00	1.51e-02	0.5304909846	0.5060980006
4	6.25e-02	1.44e-02	0.4363600116	0.6612044545
5	7.81e-03	1.44e-02	0.3982929227	0.6928990711
6	4.88e-04	1.44e-02	0.4045855169	0.6905379112
7	2.98e-08	1.44e-02	0.4045345803	0.6905634274
8	2.33e-10	1.44e-02	0.4045298060	0.6905658150
9	2.27e-13	1.44e-02	0.4045299537	0.6905657411
# x_0 = (-3.0000000000, -3.0000000000)
# max_iter = 100
# required residual = 1.00e-10

# Exit by beta
# iter = 9
# Residual = 1.44e-02
# Result point = (0.4045299537, 0.6905657411)
