x_0 = (-1.41421, -1.40421)
max_iter = 100
required residual = 1e-10

k	beta	|f|/|f0|	point
1	1.52588e-05	1	(-1.42098, -1.39738)
2	6.10352e-05	0.999984	(-1.43239, -1.38574)
3	0.000244141	0.999923	(-1.45522, -1.36194)
4	0.000976563	0.999681	(-1.49989, -1.31341)
5	0.00390625	0.998716	(-1.58514, -1.21276)
6	0.015625	0.994885	(-1.73832, -0.998178)
7	0.0625	0.980002	(-1.96926, -0.525503)
8	0.25	0.92696	(-2.09639, 0.508158)
9	1	0.777687	(-1.05218, 2.18355)
10	1	0.345639	(-0.512893, 1.64426)
11	1	0.153617	(-0.153367, 1.28474)
12	1	0.0682743	(0.0863171, 1.04505)
13	1	0.0303441	(0.246107, 0.885264)
14	1	0.0134863	(0.352633, 0.778738)
15	1	0.00599391	(0.42365, 0.70772)
16	1	0.00266396	(0.470995, 0.660375)
17	1	0.00118398	(0.502559, 0.628812)
18	1	0.000526214	(0.523601, 0.60777)
19	1	0.000233873	(0.537629, 0.593742)
20	1	0.000103943	(0.546981, 0.58439)
21	1	4.61971e-05	(0.553216, 0.578155)
22	1	2.0532e-05	(0.557372, 0.573998)
23	1	9.12535e-06	(0.560143, 0.571227)
24	1	4.05571e-06	(0.561991, 0.56938)
25	1	1.80254e-06	(0.563222, 0.568149)
26	1	8.01129e-07	(0.564043, 0.567327)
27	1	3.56057e-07	(0.564591, 0.56678)
28	1	1.58248e-07	(0.564956, 0.566415)
29	1	7.03323e-08	(0.565199, 0.566172)
30	1	3.12588e-08	(0.565361, 0.56601)
31	1	1.38928e-08	(0.565469, 0.565902)
32	1	6.17458e-09	(0.565541, 0.56583)
33	1	2.74426e-09	(0.565589, 0.565782)
34	1	1.21967e-09	(0.565621, 0.565749)
35	1	5.42075e-10	(0.565643, 0.565728)
36	1	2.40922e-10	(0.565657, 0.565714)
37	1	1.07077e-10	(0.565666, 0.565704)
38	1	4.75896e-11	(0.565673, 0.565698)

Exit by residual
iter = 38
residual = 4.75896e-11
result point = (0.565673, 0.565698)
