k	beta	residual	x	y
1	1.53e-05	1.00e+00	-1.4201346623	-1.3982321934
2	6.10e-05	1.00e+00	-1.4308821389	-1.3872436438
3	2.44e-04	1.00e+00	-1.4522142968	-1.3649472533
4	9.77e-04	9.99e-01	-1.4938825404	-1.3194230211
5	3.91e-03	9.98e-01	-1.5731097258	-1.2247869434
6	1.56e-02	9.90e-01	-1.7141932571	-1.0223086072
7	6.25e-02	9.61e-01	-1.9203667918	-0.5743930279
8	2.50e-01	8.55e-01	-1.9935398733	0.4053127211
9	1.00e+00	5.58e-01	-0.8048351203	1.9362059702
10	1.00e+00	1.40e-01	-0.1195748477	1.2509456976
11	1.00e+00	3.49e-02	0.2230552886	0.9083155613
12	1.00e+00	8.72e-03	0.3943703568	0.7370004931
13	1.00e+00	2.18e-03	0.4800278909	0.6513429590
14	1.00e+00	5.45e-04	0.5228566579	0.6085141920
15	1.00e+00	1.36e-04	0.5442710414	0.5870998085
16	1.00e+00	3.41e-05	0.5549782332	0.5763926167
17	1.00e+00	8.52e-06	0.5603318291	0.5710390208
18	1.00e+00	2.13e-06	0.5630086270	0.5683622229
19	1.00e+00	5.32e-07	0.5643470260	0.5670238239
20	1.00e+00	1.33e-07	0.5650162255	0.5663546244
21	1.00e+00	3.33e-08	0.5653508252	0.5660200247
22	1.00e+00	8.32e-09	0.5655181251	0.5658527248
23	1.00e+00	2.08e-09	0.5656017750	0.5657690749
24	1.00e+00	5.20e-10	0.5656436000	0.5657272499
25	1.00e+00	1.30e-10	0.5656645125	0.5657063374
26	1.00e+00	3.25e-11	0.5656749687	0.5656958812
# x_0 = (-1.4142135624, -1.4042135624)
# max_iter = 30
# required residual = 1.00e-10

# Exit by residual
# iter = 26
# Residual = 3.25e-11
# Result point = (0.5656749687, 0.5656958812)
