k	beta	residual	x	y
1	1.53e-05	1.00e+00	-1.4201348653	-1.3982319894
2	6.10e-05	1.00e+00	-1.4308822361	-1.3872435439
3	2.44e-04	1.00e+00	-1.4522153315	-1.3649461850
4	9.77e-04	9.99e-01	-1.4938822009	-1.3194233503
5	3.91e-03	9.98e-01	-1.5731081930	-1.2247886695
6	1.56e-02	9.90e-01	-1.7141940031	-1.0223079021
7	6.25e-02	9.61e-01	-1.9203673779	-0.5743921051
8	2.50e-01	8.55e-01	-1.9935402036	0.4053146479
9	1.00e+00	5.58e-01	-0.8048342048	1.9362062560
10	1.00e+00	1.40e-01	-0.1195746010	1.2509454422
11	1.00e+00	3.49e-02	0.2230556999	0.9083155302
12	1.00e+00	8.72e-03	0.3943704575	0.7370003643
13	1.00e+00	2.18e-03	0.4800279484	0.6513428963
14	1.00e+00	5.45e-04	0.5228566882	0.6085141557
15	1.00e+00	1.36e-04	0.5442710592	0.5870997914
16	1.00e+00	3.41e-05	0.5549782420	0.5763926080
17	1.00e+00	8.52e-06	0.5603318325	0.5710390169
18	1.00e+00	2.13e-06	0.5630086248	0.5683622256
19	1.00e+00	5.32e-07	0.5643470229	0.5670238270
20	1.00e+00	1.33e-07	0.5650162258	0.5663546241
21	1.00e+00	3.33e-08	0.5653508296	0.5660200202
22	1.00e+00	8.31e-09	0.5655181291	0.5658527207
23	1.00e+00	2.08e-09	0.5656017746	0.5657690753
24	1.00e+00	5.19e-10	0.5656436041	0.5657272458
25	1.00e+00	1.30e-10	0.5656645157	0.5657063342
26	1.00e+00	3.24e-11	0.5656749740	0.5656958759
# x_0 = (-1.4142135624, -1.4042135624)
# max_iter = 30
# required residual = 1.00e-10

# Exit by residual
# iter = 26
# Residual = 3.24e-11
# Result point = (0.5656749740, 0.5656958759)
