k	beta	residual	x	y
1	1.00e+00	7.28e-01	-0.1262500000	1.6375000000
2	1.00e+00	1.87e-01	0.2909707485	1.0414703592
3	1.00e+00	5.26e-02	0.5121041892	0.7255654440
4	1.00e+00	2.16e-02	0.6538765444	0.5230335080
5	1.25e-01	2.07e-02	0.6948125690	0.4645534729
6	1.56e-02	2.06e-02	0.6801289034	0.4855301380
7	3.91e-03	2.06e-02	0.6885746786	0.4734647449
8	1.95e-03	2.06e-02	0.6839063240	0.4801338228
9	6.10e-05	2.06e-02	0.6847956290	0.4788633871
10	7.63e-06	2.06e-02	0.6844804489	0.4793136444
11	9.54e-07	2.06e-02	0.6845901016	0.4791569977
12	1.19e-07	2.06e-02	0.6845467552	0.4792189212
13	5.96e-08	2.06e-02	0.6845803337	0.4791709519
14	2.98e-08	2.06e-02	0.6845631110	0.4791955558
15	5.82e-11	2.06e-02	0.6845639721	0.4791943255
# x_0 = (-1.0000000000, 0.5000000000)
# max_iter = 30
# required residual = 1.00e-10

# Exit by beta
# iter = 15
# Residual = 2.06e-02
# Result point = (0.6845639721, 0.4791943255)
