k	beta	residual	x	y
1	1.00e+00	7.28e-01	-0.1262500723	1.6374999059
2	1.00e+00	1.87e-01	0.2909713826	1.0414702954
3	1.00e+00	5.26e-02	0.5121043309	0.7255652161
4	1.00e+00	2.16e-02	0.6538766614	0.5230332987
5	1.25e-01	2.07e-02	0.6948128662	0.4645530067
6	1.56e-02	2.06e-02	0.6801296439	0.4855290394
7	3.91e-03	2.06e-02	0.6885768524	0.4734616009
8	1.95e-03	2.06e-02	0.6839110399	0.4801270475
9	6.10e-05	2.06e-02	0.6848068107	0.4788473747
10	7.63e-06	2.06e-02	0.6845061718	0.4792768589
11	4.77e-07	2.06e-02	0.6845855263	0.4791634953
12	5.96e-08	2.06e-02	0.6845593292	0.4792009197
13	3.73e-09	2.06e-02	0.6845674264	0.4791893524
14	1.86e-09	2.06e-02	0.6845625840	0.4791962700
15	2.33e-10	2.06e-02	0.6845645098	0.4791935189
16	1.16e-10	2.06e-02	0.6845630594	0.4791955909
17	5.82e-11	2.06e-02	0.6845638842	0.4791944127
# x_0 = (-1.0000000000, 0.5000000000)
# max_iter = 30
# required residual = 1.00e-10

# Exit by beta
# iter = 17
# Residual = 2.06e-02
# Result point = (0.6845638842, 0.4791944127)
