k	beta	residual	x	y
1	1.00e+00	3.14e-01	-0.1233649079	0.3167301674
2	5.00e-01	3.08e-01	-0.0837562807	0.7461244235
3	1.00e+00	1.35e-01	0.2732342529	0.4600222520
4	5.00e-01	1.12e-01	0.2900452107	0.6422684670
5	1.00e+00	4.26e-02	0.6440639205	0.5940037348
6	5.00e-01	3.50e-02	0.6395584964	0.5451607548
7	1.00e+00	1.83e-03	0.5691990587	0.5669549049
8	5.00e-01	1.52e-03	0.5689970879	0.5647653190
9	1.00e+00	3.98e-06	0.5656930660	0.5656881857
10	5.00e-01	3.30e-06	0.5656926382	0.5656834125
11	1.00e+00	1.88e-11	0.5656854250	0.5656854250
# x_0 = (-1.0000000000, 0.5000000000)
# max_iter = 30
# required residual = 1.00e-10

# Exit by residual
# iter = 11
# Residual = 1.88e-11
# Result point = (0.5656854250, 0.5656854250)
