k	beta	residual	x	y
1	1.00e+00	4.06e-01	-0.1937430472	0.8968323902
2	1.00e+00	3.42e-01	-0.2389204014	0.2749796538
3	5.00e-01	2.32e-01	-0.1172599928	0.6112956552
4	1.00e+00	9.28e-02	0.2869822442	0.5187834991
5	1.00e+00	9.27e-02	0.4700688682	0.6955621095
6	1.00e+00	2.58e-02	0.6164014537	0.5840092324
7	5.00e-01	2.51e-02	0.5605170146	0.6083117002
8	1.00e+00	7.44e-03	0.5806638381	0.5710971570
9	6.25e-02	7.00e-03	0.5732831698	0.5773252750
10	1.00e+00	2.76e-03	0.5621874348	0.5693262578
11	1.00e+00	3.69e-05	0.5657604848	0.5657125442
12	2.44e-04	3.68e-05	0.5657310520	0.5657419545
13	1.00e+00	1.32e-05	0.5656682715	0.5657025827
14	1.00e+00	1.02e-09	0.5656854270	0.5656854257
15	4.77e-07	1.02e-09	0.5656854260	0.5656854268
16	1.00e+00	4.46e-10	0.5656854244	0.5656854255
17	1.00e+00	2.26e-17	0.5656854249	0.5656854249
# x_0 = (-1.0000000000, 0.5000000000)
# max_iter = 30
# required residual = 1.00e-10

# Exit by residual
# iter = 17
# Residual = 2.26e-17
# Result point = (0.5656854249, 0.5656854249)
