k	beta	residual	x	y
1	1.00e+00	4.07e-01	-0.1944481462	0.8969190708
2	1.00e+00	3.44e-01	-0.2411512040	0.2741736602
3	5.00e-01	2.33e-01	-0.1192845379	0.6119128763
4	1.00e+00	9.29e-02	0.2856064700	0.5193531606
5	1.00e+00	9.22e-02	0.4707325725	0.6949485521
6	1.00e+00	2.55e-02	0.6158424314	0.5838072565
7	5.00e-01	2.44e-02	0.5611247226	0.6072967130
8	1.00e+00	7.33e-03	0.5804629654	0.5710245813
9	6.25e-02	6.91e-03	0.5732286631	0.5771218640
10	1.00e+00	2.71e-03	0.5622881176	0.5692590066
11	1.00e+00	4.20e-05	0.5657708916	0.5657163042
12	2.44e-04	4.20e-05	0.5657420331	0.5657451371
13	1.00e+00	1.35e-05	0.5656680015	0.5657030810
14	1.00e+00	4.22e-08	0.5656855109	0.5656854560
15	2.38e-07	4.22e-08	0.5656854820	0.5656854849
16	1.00e+00	1.35e-08	0.5656854075	0.5656854427
17	1.00e+00	4.12e-11	0.5656854250	0.5656854250
# x_0 = (-1.0000000000, 0.5000000000)
# max_iter = 30
# required residual = 1.00e-10

# Exit by residual
# iter = 17
# Residual = 4.12e-11
# Result point = (0.5656854250, 0.5656854250)
